healpix_5,avg_pmra,avg_pmdec
2403.0,-2.996163810588106,-4.618198657852226
5778.0,5.934397724098335,-6.125866007383745
5237.0,-1.2423035058394385,-0.588503396965332
1549.0,-1.1682316880252477,-5.351765861300315
5874.0,3.923714545786526,-6.180320449096599
8036.0,-1.1678056785470787,-4.573139064976711
7539.0,-0.563696188216393,-5.739847684202723
4607.0,3.981040005448775,-6.562043610391747
4644.0,4.37226959033251,-7.949576009597111
1318.0,-4.596646133914027,-8.893670641676795
826.0,2.117381566723229,-2.43278766295373
1599.0,-0.03434111473702655,-6.9590565425481525
9922.0,-2.306507407920282,4.107352149684472
7529.0,-0.4922603649588088,-5.233296565340569
1990.0,-0.5338151029683483,-4.890444761724197
9819.0,-4.658132116935267,4.216800971543602
10363.0,-4.694811058617529,-6.0650785965874245
9528.0,-9.211526984014231,2.9372509320985674
6351.0,-11.729183404331051,-4.136429879561518
5457.0,-3.9792618674774767,-3.1018842537498417
6664.0,-7.597924346126147,-0.4895394170476375
9357.0,-2.471023265481234,7.871652399404942
1784.0,1.511612012109389,-5.753606558597152
6264.0,-10.614482780201016,-2.3566150075821612
5603.0,-0.8065606038566623,-3.9850836053584917
8127.0,-1.5734762050879145,-4.363673460572232
2883.0,-3.124042806407681,-3.268890091099618
9858.0,1.1077803442254164,6.363079365638774
10296.0,-7.863816068776684,-5.04172623816888
1296.0,-7.450356398581653,-9.865038142889391
8207.0,7.650878589243185,5.249886768105417
6315.0,-9.405996908753371,-1.211786089253927
1510.0,-2.7838958825532067,-9.216370274153268
2730.0,-6.64223555354367,-6.618868678785463
1583.0,0.08906017954299952,-6.3626508866242615
3800.0,-1.04753386029936,-3.4658467245890443
5060.0,1.9180717855467648,-6.4583072965195925
7461.0,-0.029396934194870963,-4.757080923054328
1565.0,-1.2506312048462225,-5.519363326544379
715.0,1.1900319702441187,-2.965248018732387
11305.0,1.725330901504449,-9.284115217541318
8986.0,6.70962966565405,-2.5034240349805326
8352.0,10.381767077349174,-2.5032739757313776
3327.0,-1.6229776978289945,-4.49071197121992
1405.0,-4.814825796166855,-8.873824211126298
4728.0,3.931005792611929,-6.366902211459423
1543.0,-1.4503893194569502,-6.4284330533597815
6176.0,-10.183026396077038,-0.9079148443337323
10405.0,-8.785432666918593,-2.6830927849786335
6765.0,-6.800741559658929,-6.015704174119108
10647.0,-3.602995453107954,-5.485841595137641
3253.0,-1.4899252954467193,-5.656803838056715
3753.0,-1.8243230647061714,-3.924208537282372
6184.0,-10.604240053538991,0.049057707195659814
697.0,0.29749377709340374,-3.074377546706933
6884.0,-7.491367346883306,-5.604289137916145
751.0,-0.19889187723173182,-2.0639825052333407
1806.0,-2.503816509474365,-6.226041756974971
6227.0,-10.696295660956881,-3.732966249794169
10349.0,-4.77847806433713,-6.504211182483053
11312.0,5.584353691027298,-7.9388072232227005
5941.0,0.5700057795962492,-4.316525121927784
328.0,2.027678270499388,-5.2474232828321545
6976.0,-9.197450572815086,-8.845745638171612
12231.0,0.5703578535154913,-8.31891450855794
4723.0,6.15755194534569,-8.504808088237263
5429.0,-2.207396460291369,-1.801880815597624
1305.0,-5.985312985623092,-8.844123428003163
5506.0,-0.5458417201839422,-1.7099528293704356
3170.0,-0.859884535596554,-5.600489209211276
3590.0,-0.9354098659378466,-5.013816468144996
6158.0,-9.941058067982583,-0.5160137602187564
10867.0,-8.806776295716537,-4.704114827173257
8252.0,9.629750091660258,5.635657349432416
6430.0,-7.736822830337799,-5.820774054463762
